id,client_email,telephone,promotion,responded
93,,911-509-5906,Appear,No
94,samantha.williams@example.com,,Red,No
95,,366-958-7797,Arm,No
96,,707-861-8424,Thank,Yes
97,roberto.kelly@example.com,,Voice,No
98,jessica.sullivan@example.com,,Weight,No
99,,556-416-7572,Allow,Yes
100,nicole.smith1@example.com,,Live,Yes
101,,245-851-3582,Trip,No
102,justin.clayton@example.com,,End,No
103,,757-165-5339,Type,No
104,luis.brown@example.com,,Red,Yes
105,erik.norman@example.com,,End,No
106,mason.jackson@example.com,,Live,No
107,,250-816-4309,World,Yes
108,mark.willis@example.com,,Name,Yes
109,zoe.alvarez@example.com,,Statement,Yes
110,,135-425-4353,Trip,Yes
111,,874-066-3197,Type,Yes
112,,897-710-9940,World,No
113,kristina.washington@example.com,,Allow,Yes
114,,370-406-4747,Thank,No
115,jack.summers@example.com,,Allow,No
116,,453-582-3449,Statement,No
117,,462-597-7042,Arm,No
118,,476-970-7611,Stage,Yes
119,neil.stephens@example.com,,End,Yes
120,joseph.allen@example.com,,Fall,No
121,joshua.wilson@example.com,,Thank,Yes
122,christina.newton@example.com,,Trip,No
123,laura.campbell@example.com,,Allow,Yes
124,,508-825-4812,Allow,No
125,russell.le@example.com,,Allow,No
126,joshua.mcclain@example.com,,Type,Yes
127,haley.farmer@example.com,,Common,No
128,victoria.walker@example.com,,Water,Yes
129,kevin.benton@example.com,,World,Yes
130,,561-957-6967,Appear,No
131,,723-598-2754,Arm,Yes
132,matthew.ortega@example.com,,Type,Yes
133,,754-824-4268,Allow,Yes
134,jennifer.higgins@example.com,,Thank,No
135,dorothy.wright@example.com,,Appear,Yes
136,jackie.clark@example.com,,Thank,No
137,,692-388-2804,Trip,No
138,,881-864-3169,Water,No
139,,437-503-3772,Stage,No
140,,898-365-4631,Arm,Yes
141,,103-856-8372,Full,No
142,christopher.colon@example.com,,Allow,Yes
143,,024-382-4607,Water,No
144,,929-764-2484,Allow,Yes
145,,454-538-6040,Appear,No
146,krista.moran@example.com,,World,Yes
147,,076-668-5328,Statement,Yes
148,,771-299-4367,Fall,No
149,justin.lucas@example.com,,Common,No
150,,323-585-9773,Fall,Yes
151,,240-103-5413,Statement,Yes
152,,010-172-0424,Water,No
153,,444-595-4720,Name,No
154,,281-149-6102,Trip,Yes
155,,317-442-0546,Water,No
156,nancy.johnston@example.com,,Common,No
157,sheila.serrano@example.com,,Name,Yes
158,,188-099-0531,Statement,Yes
159,daniel.smith1@example.com,,Red,Yes
160,amy.carson@example.com,,Live,No
161,,157-398-3160,Arm,Yes
162,,394-694-6631,Appear,Yes
163,,143-189-6166,Red,No
164,,318-785-3175,Identify,No
165,alexandra.knight@example.com,,Arm,Yes
166,danielle.stewart@example.com,,Fall,Yes
167,,763-193-8666,Weight,No
168,,137-846-7237,Identify,No
169,lindsey.miller@example.com,,Live,No
170,joshua.ward@example.com,,End,Yes
171,debra.lopez@example.com,,Red,No
172,anthony.bowman@example.com,,Arm,No
173,dylan.burnett@example.com,,Weight,No
174,,164-227-1041,World,Yes
175,,650-010-6286,Name,Yes
176,,489-733-5921,Type,No
177,melissa.porter@example.com,,Full,No
178,jesse.york@example.com,,Live,Yes
179,sean.garcia@example.com,,Stage,No
180,james.ramirez1@example.com,,Water,Yes
181,daisy.cole@example.com,,Statement,No
182,,748-632-5370,Trip,No
183,,042-168-6645,Fall,No
184,jonathan.reed@example.com,,Statement,Yes
185,,482-097-8919,Allow,Yes
186,,906-216-6024,Red,No
187,,919-884-0912,Full,Yes
188,,251-800-6224,Red,No
189,,039-414-3457,Identify,Yes
190,angela.bass@example.com,,Live,No
191,kimberly.ortiz@example.com,,Weight,Yes
192,,504-621-1837,Statement,No
193,,853-522-8976,World,Yes
194,amanda.logan@example.com,,Common,No
195,anna.luna@example.com,,Stage,No
196,,889-706-2124,Full,Yes
197,,131-644-4358,Arm,Yes
198,kim.newton@example.com,,Identify,Yes
199,kelsey.mason@example.com,,Water,Yes
200,francisco.dillon@example.com,,Stage,Yes
201,,717-591-4040,Common,No
202,,963-136-4226,Fall,No
203,,520-896-6843,Live,No
204,ann.ray@example.com,,Live,No
205,timothy.bradley@example.com,,Type,No
206,christopher.reed@example.com,,Appear,No
207,renee.shelton@example.com,,Arm,Yes
208,,870-971-0610,Voice,No
209,earl.wilson@example.com,,Statement,Yes
210,,627-452-7089,Identify,Yes
211,stephen.boyd@example.com,,Appear,No
212,,093-102-5914,Name,No
213,,508-825-4812,Red,Yes
214,,405-591-2020,Trip,No
215,mark.king@example.com,,Common,Yes
216,,483-080-4322,Voice,No
217,james.barrett@example.com,,Arm,Yes
218,,181-617-4314,Stage,Yes
219,,672-005-2515,Red,Yes
220,courtney.miranda@example.com,,Thank,Yes
221,lisa.george@example.com,,Thank,No
222,,068-440-2698,Trip,No
223,,567-292-4459,Type,No
224,daniel.hernandez@example.com,,Identify,Yes
225,maria.kirk@example.com,,Common,No
226,,608-917-2637,Identify,No
227,gary.reed@example.com,,Full,No
228,casey.mullen@example.com,,Identify,No
229,,517-465-0258,Identify,Yes
230,victoria.parker@example.com,,Arm,No
231,jenna.lucas@example.com,,Identify,No
232,,867-674-1601,Full,No
233,amber.davis@example.com,,Trip,Yes
234,rebecca.adams@example.com,,Appear,Yes
235,,358-858-1812,Identify,No
236,richard.johnson@example.com,,End,No
237,,432-564-9129,End,No
238,john.watson@example.com,,Arm,No
239,wesley.collier@example.com,,Full,No
240,alicia.cole@example.com,,Trip,Yes
241,amber.suarez@example.com,,Red,No
242,,181-617-4314,Voice,Yes
243,,734-489-1513,End,No
244,ronald.gomez@example.com,,Fall,No
245,,492-738-0508,Water,Yes
246,,678-952-5492,Name,No
247,valerie.castro@example.com,,Type,Yes
248,,138-690-1466,Thank,Yes
249,,757-392-4822,Common,No
250,,313-865-7245,Trip,Yes
